준비운동,본운동,마무리운동
1단줄넘기,1단줄넘기,가슴스트레칭
가슴스트레칭,2단줄넘기,가슴/어깨스트레칭
가슴/어깨스트레칭,4방향콘찍고달리기,가슴/어깨앞쪽스트레칭
가슴/어깨앞쪽스트레칭,S자달리기,걷기
걷기,V자버티기,계단올라갔다내려오기
겨드랑이늘리기,V자싸이클,고관절스트레칭
계단뛰어오르기,가슴스트레칭,고양이자세
계단오르기,가슴/어깨스트레칭,고정식자전거타기
계단올라갔다내려오기,가슴/어깨앞쪽스트레칭,고정식트레드밀에서걷기
고관절스트레칭,거꾸로누워서밀기,골다공증을위한스트레칭
고양이자세,걷기,골반스트레칭
고정식자전거타기,결가부좌,골반스트레칭2
고정식트레드밀에서걷기,계단두칸씩뛰기,관절염을위한스트레칭
골다공증을위한심폐지구력운동,계단두발뛰기,깍지끼고상체숙이기
골반스트레칭,계단뛰어오르기,나비자세
골반스트레칭2,계단오르기,내전근스트레칭
균형걷기,계단올라갔다내려오기,넙다리뒤쪽스트레칭
깍지끼고상체숙이기,계단한발뛰기,넙다리안쪽스트레칭
깍지끼고목들어올리기,계이름치기,넙다리앞쪽스트레칭
나란히서서손잡고끌어당기기,고관절스트레칭,누워발목당겨주기
나무자세,고양이자세,누워서굽힌다리펴기
나비자세,고정식자전거타기,누워서전신뻗기
내전근스트레칭,고정식트레드밀에서걷기,다리굽혀(W자)상체뒤로눕기
넙다리뒤쪽스트레칭,고정한상태에서덤벨들고팔꿈치굽히기,다리꼬아상체앞으로숙이기
넙다리안쪽스트레칭,고혈압환자_순환식근력운동프로그램,다리들어올리기
넙다리앞쪽스트레칭,골다공증을위한근력운동2,다리모아상체숙이기
네발걷기,골다공증을위한심폐지구력운동,다리벌려앞으로상체숙이기
네발기기자세로팔다리들기,골반스트레칭,다리벌려옆으로상체숙이기
네발기기자세에서손바닥으로바닥밀기,골반스트레칭2,다리굽혀허리비틀기
누워다리들어올리기,공던져색깔맞추기,다리들어옆으로올리기
누워서가슴밀기,공양손으로주고받기,다리모아무릎누르기
누워서굽힌다리펴기,공위로던지고제자리돌아받기,다리자세
누워서다리들어올리기,공잡고들어올리기,달리기
누워서머리위로팔꿈치펴기,관절염을위한근력운동1,대퇴사두근스트레칭
누워서엉덩이들어올리기,관절염을위한근력운동2,대퇴이두근스트레칭
누워서전신뻗기,관절염을위한심폐지구력운동,대퇴이두근스트레칭2
다리굽혀(W자)상체뒤로눕기,교차다리굽히기,동적스트레칭루틴프로그램
다리꼬아상체앞으로숙이기,균형걷기,뒤꿈치높이들어뛰기
다리들어올리기,깍지끼고상체숙이기,등대고대퇴이두근스트레칭
다리모아뒤로눕기,나무자세,등스트레칭
다리모아상체숙이기,나비자세,등/어깨뒤쪽스트레칭
다리모았다벌려뛰기,내전근스트레칭,레그스윙
다리벌려앞으로상체숙이기,넙다리뒤쪽스트레칭,마주앉아대퇴이두근스트레칭2
다리벌려옆으로상체숙이기,넙다리안쪽스트레칭,목당기기
다리뻗어올리기,넙다리앞쪽스트레칭,목돌리기
다리앞뒤로벌려굽혔다펴기,네발걷기,목돌림스트레칭
다리굽혀허리비틀기,네발기기자세로팔다리들기,목스트레칭
다리들어옆으로올리기,네발기기자세에서다리위로뻗어올리기,몸기울이기/회전하기
다리모아무릎누르기,네발기기자세에서손바닥으로바닥밀기,몸앞으로굽히기
달리기,누워다리들어올리기,몸통비틀기
대퇴사두근스트레칭,누워무릎기울기,몸통스트레칭
대퇴이두근스트레칭,누워발목당겨주기,몸통앞으로굽혀걷기
대퇴이두근스트레칭2,누워한발원그리기,무릎굽혀가슴닿기
덤벨옆으로들어올리기,누워서가슴밀기,무릎당겨올리기
